id,user_id,user_group,user_block,individual_id,predicted_decision,enter_time,leave_time
58,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,824,55,1551486127260,1551486157636
59,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,472,69,1551486159802,1551486219125
60,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,890,22,1551486221031,1551486253058
61,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,506,81,1551486254694,1551486284531
62,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,420,25,1551486286524,1551486347231
63,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,286,58,1551486348796,1551486377383
64,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,604,55,1551486378932,1551486410165
65,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,323,31,1551486411818,1551486445464
66,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1235,22,1551486447176,1551486595690
67,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1058,69,1551486597697,1551486619142
68,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,611,69,1551486621028,1551486638937
69,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,475,28,1551486640490,1551486671529
70,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,250,78,1551486672987,1551486706900
71,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1583,38,1551486708270,1551486727323
72,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1192,62,1551486728594,1551486754565
73,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1091,28,1551486755836,1551486776401
74,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1850,48,1551486778095,1551486804964
75,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1792,78,1551486806422,1551486862698
76,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1190,72,1551486864846,1551486880331
77,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1913,5,1551486881353,1551486905424
78,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1094,62,1551486907451,1551487001686
79,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1929,31,1551487003090,1551487234983
80,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1326,95,1551487237013,1551487266995
81,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1110,78,1551487268987,1551487307274
82,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1697,8,1551487309937,1551487324307
83,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,dummy1,2,1551487325467,1551487344792
84,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,289,62,1551487346421,1551487417219
85,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,258,72,1551487418714,1551487469424
86,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1012,78,1551487471076,1551487482471
87,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,35,25,1551487484513,1551487499333
88,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,326,52,1551487500804,1551487529802
89,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,245,55,1551487532670,1551487618324
90,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,483,28,1551487619609,1551487630955
91,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,708,72,1551487632913,1551487647565
92,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1497,52,1551487649146,1551487747746
93,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,dummy2,98,1551487749017,1551487757222
94,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1513,92,1551487758682,1551487776191
95,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1160,28,1551487777736,1551487788221
96,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,875,31,1551487789210,1551487802168
97,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,729,19,1551487803443,1551487817798
98,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,140,31,1551487819204,1551487835707
99,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1429,52,1551487837315,1551487894191
100,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1858,75,1551487895893,1551487910349
101,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,220,28,1551487911626,1551487927133
102,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1682,25,1551487928992,1551487937001
103,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,1335,28,1551487938126,1551487945881
104,ecf3ee4c1540042ab76b12ca9fff8b68,feedback_full,1,68,52,1551487947284,1551487960530
105,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1695,62,1551487754465,1551487764281
106,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,490,62,1551487764280,1551487769468
107,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,296,38,1551487769467,1551487773010
108,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,875,38,1551487773009,1551487776408
109,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1130,19,1551487776407,1551487780637
110,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,751,81,1551487780637,1551487784812
111,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,83,81,1551487784811,1551487788097
112,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,301,62,1551487788096,1551487792031
113,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1475,22,1551487792031,1551487797707
114,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1279,22,1551487797706,1551487801478
115,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1444,42,1551487801477,1551487804892
116,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1191,22,1551487804891,1551487807585
117,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,563,81,1551487807584,1551487812045
118,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1382,58,1551487812044,1551487815618
119,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1681,42,1551487815617,1551487818862
120,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1262,22,1551487818861,1551487821746
121,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,942,42,1551487821746,1551487824122
122,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,257,42,1551487824122,1551487830987
123,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,276,2,1551487830987,1551487836396
124,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1521,38,1551487836395,1551487839996
125,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1651,38,1551487839996,1551487843505
126,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1736,58,1551487843503,1551487846828
127,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1737,42,1551487846827,1551487849653
128,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,679,42,1551487849653,1551487851814
129,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1732,81,1551487851813,1551487855325
130,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,852,58,1551487855324,1551487861945
131,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1309,58,1551487861944,1551487864523
132,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1110,81,1551487864520,1551487868554
133,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1484,62,1551487868554,1551487872721
134,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1183,19,1551487872720,1551487879618
135,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,dummy1,2,1551487879616,1551487893135
136,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,162,22,1551487893134,1551487899694
137,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1731,58,1551487899693,1551487902654
138,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1175,42,1551487902653,1551487905714
139,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,675,58,1551487905713,1551487908395
140,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,383,81,1551487908394,1551487911942
141,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1747,78,1551487911941,1551487914545
142,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1900,62,1551487914545,1551487917387
143,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1177,62,1551487917386,1551487920581
144,e8e04820f0a3ab3a467acdb628f6bd91,vignette,1,1890,62,1551487920580,1551487922680
